index,top5_indices,top5_tanimoto
69,"[np.int64(12), np.int64(478), np.int64(52), np.int64(394), np.int64(685)]","[0.5, 0.4166666666666667, 0.3829787234042553, 0.38095238095238093, 0.3541666666666667]"
70,"[np.int64(82), np.int64(97), np.int64(858), np.int64(33), np.int64(103)]","[0.975609756097561, 0.2714285714285714, 0.2676056338028169, 0.2608695652173913, 0.2571428571428571]"
71,"[np.int64(6), np.int64(663), np.int64(144), np.int64(459), np.int64(317)]","[0.9696969696969697, 0.32653061224489793, 0.3090909090909091, 0.3, 0.2982456140350877]"
72,"[np.int64(1152), np.int64(20), np.int64(1119), np.int64(802), np.int64(1182)]","[0.8666666666666667, 0.5161290322580645, 0.34782608695652173, 0.32432432432432434, 0.3157894736842105]"
73,"[np.int64(627), np.int64(146), np.int64(385), np.int64(387), np.int64(672)]","[0.875, 0.36764705882352944, 0.34375, 0.34177215189873417, 0.33]"
74,"[np.int64(286), np.int64(1304), np.int64(792), np.int64(906), np.int64(1283)]","[0.44, 0.40384615384615385, 0.4, 0.3958333333333333, 0.37735849056603776]"
75,"[np.int64(100), np.int64(137), np.int64(36), np.int64(121), np.int64(64)]","[0.4375, 0.4307692307692308, 0.38461538461538464, 0.3188405797101449, 0.3]"
76,"[np.int64(95), np.int64(144), np.int64(93), np.int64(666), np.int64(11)]","[0.9787234042553191, 0.43333333333333335, 0.4098360655737705, 0.3939393939393939, 0.38461538461538464]"
77,"[np.int64(86), np.int64(29), np.int64(110), np.int64(440), np.int64(3)]","[0.75, 0.4423076923076923, 0.43636363636363634, 0.41379310344827586, 0.3114754098360656]"
78,"[np.int64(34), np.int64(85), np.int64(43), np.int64(13), np.int64(129)]","[0.9743589743589743, 0.7692307692307693, 0.7435897435897436, 0.6170212765957447, 0.5333333333333333]"
79,"[np.int64(136), np.int64(66), np.int64(13), np.int64(129), np.int64(11)]","[0.9761904761904762, 0.7073170731707317, 0.6956521739130435, 0.6904761904761905, 0.6666666666666666]"
80,"[np.int64(122), np.int64(47), np.int64(783), np.int64(67), np.int64(669)]","[0.6111111111111112, 0.6060606060606061, 0.5945945945945946, 0.59375, 0.5882352941176471]"
81,"[np.int64(696), np.int64(109), np.int64(842), np.int64(465), np.int64(975)]","[0.96875, 0.4222222222222222, 0.41304347826086957, 0.38461538461538464, 0.3673469387755102]"
82,"[np.int64(70), np.int64(858), np.int64(103), np.int64(97), np.int64(832)]","[0.975609756097561, 0.28169014084507044, 0.2714285714285714, 0.2676056338028169, 0.25806451612903225]"
83,"[np.int64(15), np.int64(85), np.int64(43), np.int64(78), np.int64(34)]","[0.9666666666666667, 0.6216216216216216, 0.5945945945945946, 0.5, 0.4782608695652174]"
84,"[np.int64(139), np.int64(843), np.int64(1406), np.int64(1233), np.int64(1264)]","[1.0, 0.9047619047619048, 0.7555555555555555, 0.6976744186046512, 0.6956521739130435]"
85,"[np.int64(43), np.int64(78), np.int64(34), np.int64(83), np.int64(129)]","[0.9666666666666667, 0.7692307692307693, 0.7435897435897436, 0.6216216216216216, 0.6216216216216216]"
86,"[np.int64(77), np.int64(110), np.int64(29), np.int64(10), np.int64(440)]","[0.75, 0.5918367346938775, 0.574468085106383, 0.38181818181818183, 0.3064516129032258]"
87,"[np.int64(14), np.int64(574), np.int64(1159), np.int64(1198), np.int64(289)]","[0.5454545454545454, 0.2631578947368421, 0.25925925925925924, 0.25, 0.25]"
88,"[np.int64(1153), np.int64(2), np.int64(7), np.int64(890), np.int64(436)]","[0.9655172413793104, 0.6571428571428571, 0.6388888888888888, 0.5142857142857142, 0.42424242424242425]"
89,"[np.int64(110), np.int64(10), np.int64(29), np.int64(86), np.int64(3)]","[0.3064516129032258, 0.29508196721311475, 0.26229508196721313, 0.25396825396825395, 0.24242424242424243]"
90,"[np.int64(196), np.int64(923), np.int64(922), np.int64(221), np.int64(9)]","[0.2786885245901639, 0.2535211267605634, 0.2465753424657534, 0.2112676056338028, 0.20588235294117646]"
91,"[np.int64(826), np.int64(1127), np.int64(602), np.int64(1013), np.int64(535)]","[0.9736842105263158, 0.4166666666666667, 0.4, 0.39285714285714285, 0.375]"
92,"[np.int64(96), np.int64(1), np.int64(5), np.int64(138), np.int64(143)]","[0.9655172413793104, 0.6285714285714286, 0.6111111111111112, 0.55, 0.5365853658536586]"
