index,top5_indices,top5_tanimoto
1184,"[np.int64(1064), np.int64(841), np.int64(289), np.int64(1024), np.int64(1388)]","[0.9705882352941176, 0.42105263157894735, 0.4166666666666667, 0.39473684210526316, 0.3488372093023256]"
1185,"[np.int64(1189), np.int64(1257), np.int64(1312), np.int64(1177), np.int64(1168)]","[0.8783783783783784, 0.7808219178082192, 0.6835443037974683, 0.5869565217391305, 0.5204081632653061]"
1186,"[np.int64(1358), np.int64(1059), np.int64(19), np.int64(1111), np.int64(884)]","[0.98, 0.25, 0.24468085106382978, 0.24468085106382978, 0.24096385542168675]"
1187,"[np.int64(1297), np.int64(1188), np.int64(1202), np.int64(159), np.int64(1278)]","[0.8245614035087719, 0.44776119402985076, 0.44776119402985076, 0.25862068965517243, 0.24390243902439024]"
1188,"[np.int64(1202), np.int64(1187), np.int64(1297), np.int64(1329), np.int64(1147)]","[1.0, 0.44776119402985076, 0.3561643835616438, 0.3387096774193548, 0.2753623188405797]"
1189,"[np.int64(1185), np.int64(1312), np.int64(1257), np.int64(1168), np.int64(1177)]","[0.8783783783783784, 0.7894736842105263, 0.6835443037974683, 0.5833333333333334, 0.5204081632653061]"
1190,"[np.int64(1193), np.int64(232), np.int64(779), np.int64(1309), np.int64(283)]","[1.0, 0.6363636363636364, 0.46, 0.45098039215686275, 0.45098039215686275]"
1191,"[np.int64(1323), np.int64(777), np.int64(701), np.int64(1257), np.int64(1185)]","[0.863013698630137, 0.4891304347826087, 0.4823529411764706, 0.4659090909090909, 0.45161290322580644]"
1192,"[np.int64(586), np.int64(391), np.int64(173), np.int64(543), np.int64(299)]","[0.6190476190476191, 0.5365853658536586, 0.5111111111111111, 0.4583333333333333, 0.358974358974359]"
1193,"[np.int64(1190), np.int64(232), np.int64(779), np.int64(1309), np.int64(283)]","[1.0, 0.6363636363636364, 0.46, 0.45098039215686275, 0.45098039215686275]"
1194,"[np.int64(1139), np.int64(1346), np.int64(1350), np.int64(1377), np.int64(1332)]","[0.9047619047619048, 0.3944954128440367, 0.39090909090909093, 0.32456140350877194, 0.31896551724137934]"
1195,"[np.int64(1060), np.int64(728), np.int64(998), np.int64(199), np.int64(358)]","[0.5, 0.20833333333333334, 0.15555555555555556, 0.15, 0.14285714285714285]"
1196,"[np.int64(1154), np.int64(1242), np.int64(1140), np.int64(1352), np.int64(1181)]","[0.6666666666666666, 0.5076923076923077, 0.5, 0.5, 0.47058823529411764]"
1197,"[np.int64(1320), np.int64(1267), np.int64(1217), np.int64(1315), np.int64(748)]","[0.6086956521739131, 0.58, 0.375, 0.3620689655172414, 0.2978723404255319]"
1198,"[np.int64(671), np.int64(729), np.int64(853), np.int64(963), np.int64(289)]","[0.7272727272727273, 0.41379310344827586, 0.4, 0.3870967741935484, 0.3]"
1199,"[np.int64(1049), np.int64(1146), np.int64(1087), np.int64(1106), np.int64(737)]","[0.5263157894736842, 0.5087719298245614, 0.5087719298245614, 0.40298507462686567, 0.38461538461538464]"
1200,"[np.int64(237), np.int64(1291), np.int64(1102), np.int64(232), np.int64(1193)]","[0.5370370370370371, 0.375, 0.2765957446808511, 0.27586206896551724, 0.27586206896551724]"
1201,"[np.int64(1155), np.int64(1069), np.int64(1135), np.int64(1075), np.int64(1212)]","[0.7358490566037735, 0.6181818181818182, 0.6065573770491803, 0.5294117647058824, 0.5294117647058824]"
1202,"[np.int64(1188), np.int64(1187), np.int64(1297), np.int64(1329), np.int64(1147)]","[1.0, 0.44776119402985076, 0.3561643835616438, 0.3387096774193548, 0.2753623188405797]"
1203,"[np.int64(1075), np.int64(1359), np.int64(1447), np.int64(1250), np.int64(1151)]","[0.7758620689655172, 0.75, 0.7377049180327869, 0.7142857142857143, 0.6896551724137931]"
1204,"[np.int64(1384), np.int64(1149), np.int64(1442), np.int64(1307), np.int64(1367)]","[0.9791666666666666, 0.22058823529411764, 0.20869565217391303, 0.19161676646706588, 0.18823529411764706]"
1205,"[np.int64(169), np.int64(385), np.int64(627), np.int64(672), np.int64(73)]","[0.34065934065934067, 0.3173076923076923, 0.313953488372093, 0.3055555555555556, 0.2926829268292683]"
1206,"[np.int64(1387), np.int64(887), np.int64(1237), np.int64(1143), np.int64(1243)]","[0.8596491228070176, 0.8596491228070176, 0.6923076923076923, 0.6818181818181818, 0.6617647058823529]"
1207,"[np.int64(1166), np.int64(1178), np.int64(1098), np.int64(1150), np.int64(1170)]","[0.8133333333333334, 0.6071428571428571, 0.5053763440860215, 0.5, 0.47560975609756095]"
1208,"[np.int64(1268), np.int64(887), np.int64(1387), np.int64(1424), np.int64(1206)]","[0.7575757575757576, 0.7142857142857143, 0.7142857142857143, 0.6716417910447762, 0.6060606060606061]"
1209,"[np.int64(1282), np.int64(1395), np.int64(1109), np.int64(1410), np.int64(1435)]","[0.7457627118644068, 0.7333333333333333, 0.6451612903225806, 0.6349206349206349, 0.5]"
1210,"[np.int64(1118), np.int64(1261), np.int64(1390), np.int64(1275), np.int64(1300)]","[1.0, 0.7076923076923077, 0.5915492957746479, 0.3698630136986301, 0.25925925925925924]"
1211,"[np.int64(1422), np.int64(1431), np.int64(273), np.int64(1214), np.int64(1437)]","[0.9767441860465116, 0.3283582089552239, 0.328125, 0.3235294117647059, 0.3235294117647059]"
1212,"[np.int64(1075), np.int64(1250), np.int64(1359), np.int64(1412), np.int64(1251)]","[0.7142857142857143, 0.5694444444444444, 0.5492957746478874, 0.5492957746478874, 0.5428571428571428]"
1213,"[np.int64(1403), np.int64(513), np.int64(557), np.int64(721), np.int64(863)]","[0.8524590163934426, 0.6268656716417911, 0.6, 0.5342465753424658, 0.5063291139240507]"
1214,"[np.int64(1455), np.int64(1436), np.int64(1431), np.int64(1437), np.int64(32)]","[0.7884615384615384, 0.7192982456140351, 0.417910447761194, 0.4117647058823529, 0.4117647058823529]"
1215,"[np.int64(938), np.int64(197), np.int64(743), np.int64(973), np.int64(27)]","[0.5806451612903226, 0.47058823529411764, 0.40540540540540543, 0.40540540540540543, 0.38461538461538464]"
1216,"[np.int64(1278), np.int64(1371), np.int64(1181), np.int64(1242), np.int64(1352)]","[0.7636363636363637, 0.7, 0.6666666666666666, 0.5, 0.49206349206349204]"
1217,"[np.int64(1315), np.int64(1267), np.int64(1320), np.int64(1219), np.int64(1126)]","[0.9565217391304348, 0.7307692307692307, 0.6346153846153846, 0.5957446808510638, 0.532258064516129]"
1218,"[np.int64(812), np.int64(988), np.int64(421), np.int64(950), np.int64(22)]","[0.9565217391304348, 0.2222222222222222, 0.21428571428571427, 0.19444444444444445, 0.16666666666666666]"
1219,"[np.int64(1031), np.int64(1217), np.int64(1315), np.int64(1320), np.int64(938)]","[0.6571428571428571, 0.5957446808510638, 0.5714285714285714, 0.5319148936170213, 0.5142857142857142]"
1220,"[np.int64(860), np.int64(1091), np.int64(857), np.int64(1165), np.int64(1162)]","[0.24806201550387597, 0.23711340206185566, 0.23157894736842105, 0.22916666666666666, 0.22580645161290322]"
1221,"[np.int64(455), np.int64(229), np.int64(561), np.int64(203), np.int64(154)]","[0.25, 0.23728813559322035, 0.23255813953488372, 0.22857142857142856, 0.2222222222222222]"
1222,"[np.int64(424), np.int64(125), np.int64(351), np.int64(474), np.int64(94)]","[0.775, 0.5384615384615384, 0.5333333333333333, 0.5217391304347826, 0.5106382978723404]"
1223,"[np.int64(1266), np.int64(689), np.int64(188), np.int64(509), np.int64(27)]","[0.975, 0.4523809523809524, 0.36363636363636365, 0.35555555555555557, 0.3469387755102041]"
1224,"[np.int64(1092), np.int64(238), np.int64(542), np.int64(203), np.int64(1070)]","[0.8064516129032258, 0.2765957446808511, 0.2619047619047619, 0.2564102564102564, 0.2553191489361702]"
1225,"[np.int64(1365), np.int64(1108), np.int64(1158), np.int64(1126), np.int64(1183)]","[0.9555555555555556, 0.6037735849056604, 0.6, 0.4461538461538462, 0.4074074074074074]"
1226,"[np.int64(876), np.int64(275), np.int64(986), np.int64(1295), np.int64(446)]","[0.6666666666666666, 0.36666666666666664, 0.358974358974359, 0.32608695652173914, 0.2894736842105263]"
1227,"[np.int64(218), np.int64(272), np.int64(636), np.int64(396), np.int64(910)]","[0.40384615384615385, 0.373134328358209, 0.3472222222222222, 0.30985915492957744, 0.2916666666666667]"
1228,"[np.int64(1114), np.int64(628), np.int64(524), np.int64(938), np.int64(1365)]","[0.9354838709677419, 0.4318181818181818, 0.36585365853658536, 0.325, 0.3103448275862069]"
1229,"[np.int64(544), np.int64(114), np.int64(654), np.int64(868), np.int64(1078)]","[0.7777777777777778, 0.4444444444444444, 0.34782608695652173, 0.3333333333333333, 0.32432432432432434]"
1230,"[np.int64(1079), np.int64(268), np.int64(595), np.int64(435), np.int64(780)]","[0.9791666666666666, 0.4838709677419355, 0.4696969696969697, 0.4626865671641791, 0.38028169014084506]"
1231,"[np.int64(930), np.int64(1028), np.int64(1305), np.int64(1111), np.int64(19)]","[1.0, 0.9811320754716981, 0.9811320754716981, 0.5189873417721519, 0.5189873417721519]"
1232,"[np.int64(1129), np.int64(1424), np.int64(1237), np.int64(1238), np.int64(1203)]","[0.7014925373134329, 0.5263157894736842, 0.46835443037974683, 0.4625, 0.44594594594594594]"
1233,"[np.int64(1386), np.int64(139), np.int64(84), np.int64(1292), np.int64(843)]","[0.9722222222222222, 0.6976744186046512, 0.6976744186046512, 0.6511627906976745, 0.6382978723404256]"
1234,"[np.int64(1260), np.int64(1349), np.int64(1252), np.int64(745), np.int64(760)]","[0.8615384615384616, 0.7794117647058824, 0.6619718309859155, 0.6176470588235294, 0.6176470588235294]"
1235,"[np.int64(226), np.int64(836), np.int64(1138), np.int64(1333), np.int64(1423)]","[0.7727272727272727, 0.24107142857142858, 0.24, 0.21951219512195122, 0.21686746987951808]"
1236,"[np.int64(701), np.int64(279), np.int64(521), np.int64(1379), np.int64(1319)]","[0.21348314606741572, 0.21153846153846154, 0.20652173913043478, 0.20430107526881722, 0.2]"
1237,"[np.int64(1424), np.int64(1265), np.int64(1206), np.int64(887), np.int64(1387)]","[0.7313432835820896, 0.6986301369863014, 0.6923076923076923, 0.6716417910447762, 0.6716417910447762]"
1238,"[np.int64(1237), np.int64(1412), np.int64(1265), np.int64(1424), np.int64(1270)]","[0.6027397260273972, 0.5333333333333333, 0.5060240963855421, 0.4810126582278481, 0.46808510638297873]"
1239,"[np.int64(925), np.int64(1274), np.int64(755), np.int64(675), np.int64(1167)]","[0.58, 0.54, 0.3924050632911392, 0.3815789473684211, 0.33695652173913043]"
1240,"[np.int64(724), np.int64(47), np.int64(669), np.int64(256), np.int64(648)]","[0.7878787878787878, 0.5641025641025641, 0.55, 0.5, 0.4878048780487805]"
1241,"[np.int64(1155), np.int64(1097), np.int64(1232), np.int64(1069), np.int64(1201)]","[0.5254237288135594, 0.4696969696969697, 0.41333333333333333, 0.4032258064516129, 0.4]"
1242,"[np.int64(1352), np.int64(1140), np.int64(1181), np.int64(1154), np.int64(1196)]","[0.8269230769230769, 0.6862745098039216, 0.5737704918032787, 0.5087719298245614, 0.5076923076923077]"
1243,"[np.int64(1299), np.int64(1143), np.int64(887), np.int64(1387), np.int64(1206)]","[0.8636363636363636, 0.7910447761194029, 0.7692307692307693, 0.7692307692307693, 0.6617647058823529]"
1244,"[np.int64(913), np.int64(1010), np.int64(1014), np.int64(499), np.int64(119)]","[0.7647058823529411, 0.5, 0.4883720930232558, 0.45, 0.2692307692307692]"
1245,"[np.int64(1256), np.int64(1258), np.int64(1140), np.int64(1181), np.int64(1154)]","[0.8214285714285714, 0.7704918032786885, 0.6140350877192983, 0.59375, 0.5333333333333333]"
1246,"[np.int64(1397), np.int64(1264), np.int64(1343), np.int64(1286), np.int64(142)]","[0.9767441860465116, 0.7083333333333334, 0.6938775510204082, 0.6470588235294118, 0.6346153846153846]"
1247,"[np.int64(40), np.int64(1338), np.int64(1264), np.int64(1343), np.int64(131)]","[0.22388059701492538, 0.21951219512195122, 0.2077922077922078, 0.20512820512820512, 0.20481927710843373]"
1248,"[np.int64(1151), np.int64(1251), np.int64(1203), np.int64(1169), np.int64(1129)]","[0.6949152542372882, 0.5441176470588235, 0.5384615384615384, 0.5151515151515151, 0.5070422535211268]"
1249,"[np.int64(1314), np.int64(236), np.int64(598), np.int64(1071), np.int64(848)]","[0.8333333333333334, 0.7547169811320755, 0.7222222222222222, 0.6379310344827587, 0.6379310344827587]"
1250,"[np.int64(1075), np.int64(1359), np.int64(1203), np.int64(1447), np.int64(1311)]","[0.7936507936507936, 0.7164179104477612, 0.7142857142857143, 0.7058823529411765, 0.581081081081081]"
1251,"[np.int64(1151), np.int64(1075), np.int64(1250), np.int64(1359), np.int64(1248)]","[0.7758620689655172, 0.7142857142857143, 0.5694444444444444, 0.5492957746478874, 0.5441176470588235]"
1252,"[np.int64(1349), np.int64(1260), np.int64(1234), np.int64(236), np.int64(598)]","[0.8548387096774194, 0.7692307692307693, 0.6619718309859155, 0.6290322580645161, 0.6290322580645161]"
1253,"[np.int64(1151), np.int64(1129), np.int64(1251), np.int64(1237), np.int64(1232)]","[0.5714285714285714, 0.5194805194805194, 0.47435897435897434, 0.4691358024691358, 0.43373493975903615]"
1254,"[np.int64(770), np.int64(351), np.int64(474), np.int64(127), np.int64(744)]","[0.875, 0.6041666666666666, 0.5918367346938775, 0.5, 0.49056603773584906]"
1255,"[np.int64(866), np.int64(1324), np.int64(775), np.int64(345), np.int64(247)]","[0.8072289156626506, 0.7976190476190477, 0.26717557251908397, 0.2661290322580645, 0.2644628099173554]"
1256,"[np.int64(1245), np.int64(1258), np.int64(1181), np.int64(1140), np.int64(1154)]","[0.8214285714285714, 0.7627118644067796, 0.6333333333333333, 0.6296296296296297, 0.6]"
1257,"[np.int64(1312), np.int64(1185), np.int64(1189), np.int64(1177), np.int64(1168)]","[0.8676470588235294, 0.7808219178082192, 0.6835443037974683, 0.627906976744186, 0.5543478260869565]"
1258,"[np.int64(1245), np.int64(1256), np.int64(1181), np.int64(1140), np.int64(1154)]","[0.7704918032786885, 0.7627118644067796, 0.5757575757575758, 0.5666666666666667, 0.5161290322580645]"
1259,"[np.int64(885), np.int64(822), np.int64(1407), np.int64(1309), np.int64(283)]","[0.30120481927710846, 0.29523809523809524, 0.2857142857142857, 0.28205128205128205, 0.28205128205128205]"
1260,"[np.int64(1234), np.int64(1252), np.int64(1349), np.int64(236), np.int64(598)]","[0.8615384615384616, 0.7692307692307693, 0.6619718309859155, 0.6, 0.6]"
1261,"[np.int64(1390), np.int64(1118), np.int64(1210), np.int64(1275), np.int64(1245)]","[0.7681159420289855, 0.7076923076923077, 0.7076923076923077, 0.32926829268292684, 0.2696629213483146]"
1262,"[np.int64(1433), np.int64(434), np.int64(43), np.int64(85), np.int64(89)]","[0.5882352941176471, 0.5294117647058824, 0.21153846153846154, 0.20754716981132076, 0.19047619047619047]"
1263,"[np.int64(208), np.int64(278), np.int64(157), np.int64(957), np.int64(1068)]","[0.5416666666666666, 0.4482758620689655, 0.41935483870967744, 0.40625, 0.37142857142857144]"
1264,"[np.int64(1343), np.int64(1406), np.int64(1246), np.int64(84), np.int64(139)]","[0.975609756097561, 0.723404255319149, 0.7083333333333334, 0.6956521739130435, 0.6956521739130435]"
1265,"[np.int64(1237), np.int64(1143), np.int64(1417), np.int64(1317), np.int64(1270)]","[0.6986301369863014, 0.6666666666666666, 0.6538461538461539, 0.6493506493506493, 0.6292134831460674]"
1266,"[np.int64(1223), np.int64(689), np.int64(509), np.int64(188), np.int64(27)]","[0.975, 0.4418604651162791, 0.37777777777777777, 0.35555555555555557, 0.34]"
1267,"[np.int64(1320), np.int64(1217), np.int64(1315), np.int64(1197), np.int64(1219)]","[0.8913043478260869, 0.7307692307692307, 0.7037037037037037, 0.58, 0.5098039215686274]"
1268,"[np.int64(1208), np.int64(1335), np.int64(1143), np.int64(1417), np.int64(1243)]","[0.7575757575757576, 0.6901408450704225, 0.6133333333333333, 0.5822784810126582, 0.5569620253164557]"
1269,"[np.int64(1364), np.int64(505), np.int64(356), np.int64(597), np.int64(1003)]","[0.75, 0.37037037037037035, 0.2972972972972973, 0.2894736842105263, 0.2777777777777778]"
1270,"[np.int64(1237), np.int64(1265), np.int64(1417), np.int64(1317), np.int64(1143)]","[0.6506024096385542, 0.6292134831460674, 0.5434782608695652, 0.5053763440860215, 0.5]"
1271,"[np.int64(1038), np.int64(27), np.int64(938), np.int64(973), np.int64(743)]","[0.7777777777777778, 0.36, 0.2857142857142857, 0.2692307692307692, 0.2692307692307692]"
1272,"[np.int64(1345), np.int64(692), np.int64(1445), np.int64(763), np.int64(751)]","[0.8163265306122449, 0.5517241379310345, 0.5, 0.5, 0.484375]"
1273,"[np.int64(1313), np.int64(300), np.int64(378), np.int64(746), np.int64(838)]","[0.847457627118644, 0.7903225806451613, 0.7868852459016393, 0.6716417910447762, 0.6567164179104478]"
1274,"[np.int64(1239), np.int64(495), np.int64(989), np.int64(764), np.int64(209)]","[0.54, 0.45454545454545453, 0.2894736842105263, 0.2558139534883721, 0.25]"
1275,"[np.int64(1118), np.int64(1210), np.int64(1261), np.int64(1390), np.int64(1248)]","[0.3698630136986301, 0.3698630136986301, 0.32926829268292684, 0.26136363636363635, 0.20481927710843373]"
1276,"[np.int64(1065), np.int64(538), np.int64(450), np.int64(606), np.int64(285)]","[0.9615384615384616, 0.48717948717948717, 0.46153846153846156, 0.45652173913043476, 0.4166666666666667]"
1277,"[np.int64(230), np.int64(1438), np.int64(195), np.int64(771), np.int64(756)]","[0.47619047619047616, 0.4444444444444444, 0.3157894736842105, 0.30434782608695654, 0.28205128205128205]"
1278,"[np.int64(1216), np.int64(1371), np.int64(1181), np.int64(1242), np.int64(1196)]","[0.7636363636363637, 0.6363636363636364, 0.5151515151515151, 0.4626865671641791, 0.45714285714285713]"
1279,"[np.int64(571), np.int64(941), np.int64(494), np.int64(684), np.int64(667)]","[0.6, 0.325, 0.3023255813953488, 0.28888888888888886, 0.28888888888888886]"
1280,"[np.int64(254), np.int64(190), np.int64(1287), np.int64(893), np.int64(926)]","[0.8333333333333334, 0.5849056603773585, 0.44871794871794873, 0.42105263157894735, 0.359375]"
1281,"[np.int64(1421), np.int64(717), np.int64(766), np.int64(630), np.int64(789)]","[0.9767441860465116, 0.23076923076923078, 0.22727272727272727, 0.2153846153846154, 0.21212121212121213]"
1282,"[np.int64(1395), np.int64(1209), np.int64(1109), np.int64(1410), np.int64(1431)]","[0.9811320754716981, 0.7457627118644068, 0.4927536231884058, 0.4857142857142857, 0.43478260869565216]"
1283,"[np.int64(286), np.int64(792), np.int64(1304), np.int64(1458), np.int64(1366)]","[0.8780487804878049, 0.782608695652174, 0.7727272727272727, 0.7391304347826086, 0.717391304347826]"
1284,"[np.int64(1356), np.int64(1369), np.int64(1392), np.int64(1415), np.int64(866)]","[0.5409836065573771, 0.25984251968503935, 0.25190839694656486, 0.24615384615384617, 0.23308270676691728]"
1285,"[np.int64(373), np.int64(720), np.int64(194), np.int64(195), np.int64(314)]","[0.6, 0.5, 0.45454545454545453, 0.35714285714285715, 0.3333333333333333]"
1286,"[np.int64(142), np.int64(1246), np.int64(1397), np.int64(139), np.int64(84)]","[0.9767441860465116, 0.6470588235294118, 0.6346153846153846, 0.6326530612244898, 0.6326530612244898]"
1287,"[np.int64(1360), np.int64(254), np.int64(1280), np.int64(1294), np.int64(945)]","[0.5925925925925926, 0.5769230769230769, 0.44871794871794873, 0.4431818181818182, 0.4358974358974359]"
1288,"[np.int64(1329), np.int64(1374), np.int64(1202), np.int64(1188), np.int64(1147)]","[0.4444444444444444, 0.3625, 0.25, 0.25, 0.24675324675324675]"
1289,"[np.int64(1448), np.int64(106), np.int64(507), np.int64(1024), np.int64(1137)]","[0.9545454545454546, 0.4827586206896552, 0.4666666666666667, 0.3793103448275862, 0.3793103448275862]"
1290,"[np.int64(348), np.int64(223), np.int64(637), np.int64(355), np.int64(400)]","[0.8372093023255814, 0.6, 0.56, 0.4, 0.39285714285714285]"
1291,"[np.int64(1200), np.int64(237), np.int64(1190), np.int64(1193), np.int64(232)]","[0.375, 0.3333333333333333, 0.25, 0.25, 0.25]"
1292,"[np.int64(153), np.int64(1233), np.int64(1386), np.int64(1286), np.int64(142)]","[0.972972972972973, 0.6511627906976745, 0.6363636363636364, 0.56, 0.5490196078431373]"
1293,"[np.int64(1362), np.int64(1097), np.int64(1172), np.int64(1134), np.int64(1216)]","[0.7241379310344828, 0.44285714285714284, 0.3375, 0.3076923076923077, 0.2727272727272727]"
1294,"[np.int64(352), np.int64(945), np.int64(1360), np.int64(1287), np.int64(1330)]","[0.5119047619047619, 0.4868421052631579, 0.4444444444444444, 0.4431818181818182, 0.358974358974359]"
1295,"[np.int64(1094), np.int64(809), np.int64(1116), np.int64(741), np.int64(256)]","[0.78125, 0.5294117647058824, 0.5142857142857142, 0.47368421052631576, 0.40476190476190477]"
1296,"[np.int64(505), np.int64(656), np.int64(802), np.int64(197), np.int64(1182)]","[0.3333333333333333, 0.3125, 0.2765957446808511, 0.2765957446808511, 0.2708333333333333]"
1297,"[np.int64(1187), np.int64(1188), np.int64(1202), np.int64(159), np.int64(1329)]","[0.8245614035087719, 0.3561643835616438, 0.3561643835616438, 0.25, 0.2328767123287671]"
1298,"[np.int64(694), np.int64(247), np.int64(773), np.int64(1076), np.int64(345)]","[0.8571428571428571, 0.8295454545454546, 0.8210526315789474, 0.7040816326530612, 0.6836734693877551]"
1299,"[np.int64(1243), np.int64(1143), np.int64(887), np.int64(1387), np.int64(1206)]","[0.8636363636363636, 0.7794117647058824, 0.7575757575757576, 0.7575757575757576, 0.6521739130434783]"
1300,"[np.int64(1208), np.int64(1387), np.int64(887), np.int64(1248), np.int64(1424)]","[0.5217391304347826, 0.4788732394366197, 0.4788732394366197, 0.4782608695652174, 0.47297297297297297]"
1301,"[np.int64(1391), np.int64(1368), np.int64(1389), np.int64(286), np.int64(792)]","[0.9285714285714286, 0.5373134328358209, 0.5070422535211268, 0.2857142857142857, 0.28378378378378377]"
1302,"[np.int64(1367), np.int64(1340), np.int64(1307), np.int64(74), np.int64(408)]","[0.9344262295081968, 0.7741935483870968, 0.7424242424242424, 0.3, 0.3]"
1303,"[np.int64(1348), np.int64(283), np.int64(1309), np.int64(885), np.int64(1407)]","[0.9848484848484849, 0.410958904109589, 0.410958904109589, 0.35365853658536583, 0.34210526315789475]"
1304,"[np.int64(1458), np.int64(1400), np.int64(1366), np.int64(1444), np.int64(1404)]","[0.9047619047619048, 0.8863636363636364, 0.8809523809523809, 0.8085106382978723, 0.7872340425531915]"
1305,"[np.int64(1028), np.int64(1231), np.int64(930), np.int64(19), np.int64(1111)]","[1.0, 0.9811320754716981, 0.9811320754716981, 0.5125, 0.5125]"
1306,"[np.int64(879), np.int64(1416), np.int64(863), np.int64(1319), np.int64(1189)]","[0.7407407407407407, 0.7159090909090909, 0.6352941176470588, 0.5053763440860215, 0.4897959183673469]"
1307,"[np.int64(1340), np.int64(1367), np.int64(1302), np.int64(1443), np.int64(792)]","[0.9137931034482759, 0.803030303030303, 0.7424242424242424, 0.3291139240506329, 0.32894736842105265]"
1308,"[np.int64(1363), np.int64(994), np.int64(862), np.int64(1149), np.int64(1141)]","[0.896551724137931, 0.638095238095238, 0.6153846153846154, 0.3103448275862069, 0.2265625]"
1309,"[np.int64(283), np.int64(1407), np.int64(885), np.int64(232), np.int64(779)]","[1.0, 0.7045454545454546, 0.68, 0.5416666666666666, 0.5]"
1310,"[np.int64(1420), np.int64(1321), np.int64(1381), np.int64(1227), np.int64(272)]","[0.9811320754716981, 0.8545454545454545, 0.8392857142857143, 0.22077922077922077, 0.21428571428571427]"
1311,"[np.int64(1203), np.int64(1250), np.int64(1075), np.int64(1172), np.int64(1359)]","[0.671875, 0.581081081081081, 0.5774647887323944, 0.5694444444444444, 0.5616438356164384]"
1312,"[np.int64(1257), np.int64(1189), np.int64(1185), np.int64(1168), np.int64(1177)]","[0.8676470588235294, 0.7894736842105263, 0.6835443037974683, 0.6222222222222222, 0.5543478260869565]"
1313,"[np.int64(1273), np.int64(746), np.int64(838), np.int64(300), np.int64(378)]","[0.847457627118644, 0.796875, 0.78125, 0.7014925373134329, 0.6716417910447762]"
1314,"[np.int64(1249), np.int64(745), np.int64(760), np.int64(763), np.int64(1445)]","[0.8333333333333334, 0.7678571428571429, 0.7368421052631579, 0.6290322580645161, 0.6290322580645161]"
1315,"[np.int64(1217), np.int64(1267), np.int64(1320), np.int64(1219), np.int64(1126)]","[0.9565217391304348, 0.7037037037037037, 0.6111111111111112, 0.5714285714285714, 0.5396825396825397]"
1316,"[np.int64(987), np.int64(893), np.int64(924), np.int64(190), np.int64(241)]","[0.23529411764705882, 0.23076923076923078, 0.22641509433962265, 0.21818181818181817, 0.20754716981132076]"
1317,"[np.int64(1143), np.int64(1206), np.int64(1265), np.int64(1243), np.int64(887)]","[0.8181818181818182, 0.6617647058823529, 0.6493506493506493, 0.6486486486486487, 0.6428571428571429]"
1318,"[np.int64(1342), np.int64(385), np.int64(672), np.int64(387), np.int64(731)]","[0.9550561797752809, 0.4224137931034483, 0.4083333333333333, 0.3786407766990291, 0.37037037037037035]"
1319,"[np.int64(1379), np.int64(879), np.int64(721), np.int64(1306), np.int64(863)]","[0.855072463768116, 0.5975609756097561, 0.525, 0.5053763440860215, 0.5]"
1320,"[np.int64(1267), np.int64(1217), np.int64(1315), np.int64(1197), np.int64(1219)]","[0.8913043478260869, 0.6346153846153846, 0.6111111111111112, 0.6086956521739131, 0.5319148936170213]"
1321,"[np.int64(1381), np.int64(1310), np.int64(1420), np.int64(1227), np.int64(272)]","[0.9803921568627451, 0.8545454545454545, 0.8392857142857143, 0.22666666666666666, 0.21951219512195122]"
1322,"[np.int64(1415), np.int64(257), np.int64(1142), np.int64(1334), np.int64(1378)]","[0.256, 0.18571428571428572, 0.184, 0.18181818181818182, 0.18055555555555555]"
1323,"[np.int64(1191), np.int64(752), np.int64(521), np.int64(1312), np.int64(1189)]","[0.863013698630137, 0.5, 0.48863636363636365, 0.4725274725274725, 0.4583333333333333]"
1324,"[np.int64(866), np.int64(1255), np.int64(345), np.int64(247), np.int64(800)]","[0.9859154929577465, 0.7976190476190477, 0.2982456140350877, 0.2857142857142857, 0.2828282828282828]"
1325,"[np.int64(1401), np.int64(407), np.int64(1026), np.int64(388), np.int64(964)]","[0.972972972972973, 0.6136363636363636, 0.6, 0.4146341463414634, 0.4146341463414634]"
1326,"[np.int64(1344), np.int64(1156), np.int64(1312), np.int64(1189), np.int64(1176)]","[0.7671232876712328, 0.525, 0.48863636363636365, 0.4731182795698925, 0.45121951219512196]"
1327,"[np.int64(1388), np.int64(1024), np.int64(841), np.int64(291), np.int64(1064)]","[0.9583333333333334, 0.4, 0.3870967741935484, 0.3548387096774194, 0.3333333333333333]"
1328,"[np.int64(1219), np.int64(1217), np.int64(1315), np.int64(1215), np.int64(197)]","[0.3559322033898305, 0.32857142857142857, 0.3194444444444444, 0.3103448275862069, 0.3090909090909091]"
1329,"[np.int64(1288), np.int64(1069), np.int64(1371), np.int64(1147), np.int64(1155)]","[0.4444444444444444, 0.4074074074074074, 0.38181818181818183, 0.3620689655172414, 0.3620689655172414]"
1330,"[np.int64(623), np.int64(897), np.int64(906), np.int64(945), np.int64(1353)]","[1.0, 0.5434782608695652, 0.5, 0.4444444444444444, 0.40625]"
1331,"[np.int64(974), np.int64(1334), np.int64(1378), np.int64(1341), np.int64(1089)]","[0.9552238805970149, 0.33636363636363636, 0.3333333333333333, 0.23275862068965517, 0.21495327102803738]"
1332,"[np.int64(1377), np.int64(1398), np.int64(1382), np.int64(1139), np.int64(1194)]","[0.8961038961038961, 0.45714285714285713, 0.4056603773584906, 0.33620689655172414, 0.31896551724137934]"
