SMILES,MW,LogP,TPSA,HBA,HBD,cluster,x_umap,y_umap,Cluster_ID
CN1C[C@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21,254.333,2.0299,39.260000000000005,2,2,929,1.8320909,3.5804782,929
c1ccc2nc(N3CCNCC3)ccc2c1,213.28400000000002,1.6443999999999994,28.16,3,1,364,0.66556996,0.34160075,364
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl.Cl,371.31199999999995,3.0397200000000018,50.28,5,1,365,2.4524302,0.37063736,365
O=C(O)/C=C\C(=O)O.c1ccc2nc(N3CCNCC3)ccc2c1,329.3560000000001,1.3561999999999994,102.76,5,3,364,0.7855999,0.45144063,364
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2.O=C(O)/C=C\C(=O)O,472.63200000000023,4.116100000000002,81.08,6,2,363,0.80703497,0.2765027,363
CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,315.869,5.188000000000004,3.24,2,0,163,0.16899104,-0.6060582,163
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,443.6380000000002,3.4707000000000017,43.86000000000001,5,0,928,0.27316204,-0.3849442,928
C[N+]1(C)C2CC[C@H]1CC(OC(=O)C(O)c1ccccc1)C2.[Br-],370.28700000000003,-0.9629999999999976,46.53,3,1,123,1.8789926,2.419879,123
CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,49.33,2,2,927,4.7289896,-1.7685387,927
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,382.8910000000001,4.887800000000005,42.43,3,0,926,0.9496778,0.43865946,926
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,2.5837400000000006,32.34,2,1,288,3.540918,-0.2817084,288
CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,1.3101,63.60000000000001,3,1,925,4.841807,-1.4794929,925
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.745,-0.3512999999999999,118.36,5,3,924,0.84848446,-2.338421,924
CC12CCC(CC1=O)C2(C)C,152.237,2.401700000000001,17.07,1,0,923,0.5115567,5.2945466,923
